MEMID,ED5A
001002001,TERTIARY EDUCATION
001002002,TERTIARY EDUCATION
001003001,PRIMARY
001003002,PRIMARY
001003003,TERTIARY EDUCATION
001004001,
001004002,UPPER SECONDARY
001004003,LOWER SECONDARY
001004004,PRIMARY
001004005,PRIMARY
001004006,LOWER SECONDARY
001005001,LOWER SECONDARY
001005002,TERTIARY EDUCATION
001005003,UPPER SECONDARY
001005004,PRIMARY
001005005,PRIMARY
001006001,PRIMARY
001006002,LOWER SECONDARY
001006003,UPPER SECONDARY
001006004,PRIMARY
001006005,
001006006,TERTIARY EDUCATION
001007001,PRIMARY
001007002,PRIMARY
001007003,LOWER SECONDARY
001007004,LOWER SECONDARY
001007005,PRIMARY
001007006,PRIMARY
001007007,
001007008,LOWER SECONDARY
001008001,PRIMARY
001008002,POST SECONDARY NON TERTIARY
001008003,LOWER SECONDARY
001008004,TERTIARY EDUCATION
001008005,LOWER SECONDARY
001008006,ECE
001008007,ECE
001008008,
001009001,TERTIARY EDUCATION
001009002,POST SECONDARY NON TERTIARY
001009003,UPPER SECONDARY
001009004,UPPER SECONDARY
001009005,POST SECONDARY NON TERTIARY
001009006,
001009007,UPPER SECONDARY
001009008,PRIMARY
001010001,PRIMARY
001010002,LOWER SECONDARY
001010003,PRIMARY
001010004,
001011001,TERTIARY EDUCATION
001011002,TERTIARY EDUCATION
001011003,TERTIARY EDUCATION
001011004,PRIMARY
001011005,PRIMARY
001012001,PRIMARY
001012002,LOWER SECONDARY
001012003,UPPER SECONDARY
001012004,UPPER SECONDARY
001012005,LOWER SECONDARY
001013001,PRIMARY
001013002,LOWER SECONDARY
001013003,LOWER SECONDARY
001013004,
001014001,UPPER SECONDARY
001014002,ECE
001014003,TERTIARY EDUCATION
001015001,TERTIARY EDUCATION
001015002,POST SECONDARY NON TERTIARY
001015003,UPPER SECONDARY
001015004,LOWER SECONDARY
001016001,UPPER SECONDARY
001016002,UPPER SECONDARY
001016003,PRIMARY
001016004,ECE
001016005,
001016006,LOWER SECONDARY
001017001,TERTIARY EDUCATION
001017002,LOWER SECONDARY
001017003,UPPER SECONDARY
001017004,LOWER SECONDARY
001018001,PRIMARY
001018002,PRIMARY
001018003,UPPER SECONDARY
001018004,UPPER SECONDARY
001019001,LOWER SECONDARY
001019002,TERTIARY EDUCATION
001019003,POST SECONDARY NON TERTIARY
001019004,TERTIARY EDUCATION
001019005,PRIMARY
001019006,ECE
001020001,
001020002,TERTIARY EDUCATION
002001001,TERTIARY EDUCATION
002002001,TERTIARY EDUCATION
002002002,TERTIARY EDUCATION
002002003,TERTIARY EDUCATION
002003001,UPPER SECONDARY
002003002,LOWER SECONDARY
002003003,TERTIARY EDUCATION
002004001,LOWER SECONDARY
002004002,UPPER SECONDARY
002004003,PRIMARY
002004004,PRIMARY
002004005,ECE
002005001,TERTIARY EDUCATION
002005002,LOWER SECONDARY
002005003,TERTIARY EDUCATION
002005004,LOWER SECONDARY
002005005,
002005006,TERTIARY EDUCATION
002006001,UPPER SECONDARY
002006002,UPPER SECONDARY
002007001,PRIMARY
002007002,PRIMARY
002007003,POST SECONDARY NON TERTIARY
002007004,TERTIARY EDUCATION
002007005,TERTIARY EDUCATION
002007006,LOWER SECONDARY
002007007,TERTIARY EDUCATION
002007008,
002007009,ECE
002008001,TERTIARY EDUCATION
002008002,UPPER SECONDARY
002008003,TERTIARY EDUCATION
002008004,TERTIARY EDUCATION
002008005,TERTIARY EDUCATION
002008006,TERTIARY EDUCATION
002008007,PRIMARY
002008008,ECE
002008009,
002009001,TERTIARY EDUCATION
002009002,TERTIARY EDUCATION
002010001,TERTIARY EDUCATION
002010002,POST SECONDARY NON TERTIARY
002010003,LOWER SECONDARY
002010004,PRIMARY
002012001,
002012002,LOWER SECONDARY
002012003,UPPER SECONDARY
002012004,TERTIARY EDUCATION
002013001,LOWER SECONDARY
002013002,LOWER SECONDARY
002014001,LOWER SECONDARY
002014002,PRIMARY
002014003,LOWER SECONDARY
002015001,POST SECONDARY NON TERTIARY
002015002,PRIMARY
002015003,TERTIARY EDUCATION
002015004,UPPER SECONDARY
002016001,PRIMARY
002016002,
002016003,TERTIARY EDUCATION
002017001,PRIMARY
002017002,LOWER SECONDARY
002017003,POST SECONDARY NON TERTIARY
002017004,UPPER SECONDARY
002017005,PRIMARY
002017006,PRIMARY
002017007,
002018001,TERTIARY EDUCATION
002018002,POST SECONDARY NON TERTIARY
002018003,ECE
002018004,
002019001,UPPER SECONDARY
002019002,LOWER SECONDARY
002019003,LOWER SECONDARY
002019004,PRIMARY
002020001,LOWER SECONDARY
002020002,UPPER SECONDARY
002020003,ECE
003001001,TERTIARY EDUCATION
003001002,LOWER SECONDARY
003001003,TERTIARY EDUCATION
003003001,LOWER SECONDARY
003003002,PRIMARY
003003003,TERTIARY EDUCATION
003003004,LOWER SECONDARY
003003005,UPPER SECONDARY
003003006,LOWER SECONDARY
003004001,LOWER SECONDARY
003004002,PRIMARY
003004003,
003004004,
003005001,LOWER SECONDARY
003005002,LOWER SECONDARY
003005003,UPPER SECONDARY
003005004,PRIMARY
003006001,LOWER SECONDARY
003006002,PRIMARY
003006003,LOWER SECONDARY
003006004,TERTIARY EDUCATION
003007001,POST SECONDARY NON TERTIARY
003007002,TERTIARY EDUCATION
003007003,PRIMARY
003008001,POST SECONDARY NON TERTIARY
003008002,UPPER SECONDARY
003008003,PRIMARY
003008004,PRIMARY
003008005,
003008006,UPPER SECONDARY
