HHID,residence,region,wealth_q,eth_hoh
001001,Urban,Central,0.0,
001002,Urban,Central,Richest,Lao-Tai
001003,Urban,Central,Richest,Lao-Tai
001004,Urban,Central,Fourth,Lao-Tai
001005,Urban,Central,Richest,Lao-Tai
001006,Urban,Central,Richest,Lao-Tai
001007,Urban,Central,Fourth,Lao-Tai
001008,Urban,Central,Richest,Lao-Tai
001009,Urban,Central,Richest,Lao-Tai
001010,Urban,Central,Richest,Lao-Tai
001011,Urban,Central,Richest,Lao-Tai
001012,Urban,Central,Richest,Lao-Tai
001013,Urban,Central,Fourth,Lao-Tai
001014,Urban,Central,Richest,Lao-Tai
001015,Urban,Central,Richest,Lao-Tai
001016,Urban,Central,Richest,Lao-Tai
001017,Urban,Central,Richest,Lao-Tai
001018,Urban,Central,Fourth,Lao-Tai
001019,Urban,Central,Richest,Lao-Tai
001020,Urban,Central,Richest,Lao-Tai
002001,Urban,Central,Richest,Lao-Tai
002002,Urban,Central,Richest,Lao-Tai
002003,Urban,Central,Richest,Lao-Tai
002004,Urban,Central,Richest,Lao-Tai
002005,Urban,Central,Richest,Lao-Tai
002006,Urban,Central,Fourth,Lao-Tai
002007,Urban,Central,Richest,Lao-Tai
002008,Urban,Central,Richest,Lao-Tai
002009,Urban,Central,Richest,Lao-Tai
002010,Urban,Central,Richest,Lao-Tai
002011,Urban,Central,0.0,
002012,Urban,Central,Richest,Lao-Tai
002013,Urban,Central,Richest,Lao-Tai
002014,Urban,Central,Fourth,Lao-Tai
002015,Urban,Central,Richest,Lao-Tai
002016,Urban,Central,Richest,Lao-Tai
002017,Urban,Central,Richest,Lao-Tai
002018,Urban,Central,Richest,Lao-Tai
002019,Urban,Central,Richest,Lao-Tai
002020,Urban,Central,Richest,Lao-Tai
003001,Urban,Central,Richest,Lao-Tai
003002,Urban,Central,0.0,
003003,Urban,Central,Richest,Lao-Tai
003004,Urban,Central,Fourth,Lao-Tai
003005,Urban,Central,Richest,Lao-Tai
003006,Urban,Central,Richest,Lao-Tai
003007,Urban,Central,Richest,Lao-Tai
003008,Urban,Central,Richest,Lao-Tai
003009,Urban,Central,Fourth,Lao-Tai
003010,Urban,Central,Richest,Lao-Tai
003011,Urban,Central,Richest,Lao-Tai
003012,Urban,Central,Richest,Lao-Tai
003013,Urban,Central,Richest,Lao-Tai
003014,Urban,Central,Richest,Lao-Tai
003015,Urban,Central,0.0,
003016,Urban,Central,Fourth,Lao-Tai
003017,Urban,Central,0.0,
003018,Urban,Central,Richest,Lao-Tai
003019,Urban,Central,Richest,Lao-Tai
003020,Urban,Central,Richest,Lao-Tai
004001,Urban,Central,Richest,Lao-Tai
004002,Urban,Central,Richest,Lao-Tai
004003,Urban,Central,Richest,Lao-Tai
004004,Urban,Central,Richest,Lao-Tai
004005,Urban,Central,Richest,Lao-Tai
004006,Urban,Central,Richest,Lao-Tai
004007,Urban,Central,Richest,Lao-Tai
004008,Urban,Central,0.0,
004009,Urban,Central,Richest,Lao-Tai
004010,Urban,Central,0.0,
004011,Urban,Central,Richest,Lao-Tai
004012,Urban,Central,Richest,Lao-Tai
004013,Urban,Central,Richest,Lao-Tai
004014,Urban,Central,Fourth,Lao-Tai
004015,Urban,Central,Richest,Lao-Tai
004016,Urban,Central,Richest,Lao-Tai
004017,Urban,Central,Richest,Lao-Tai
004018,Urban,Central,Richest,Lao-Tai
004019,Urban,Central,Richest,Lao-Tai
004020,Urban,Central,Richest,Lao-Tai
005001,Urban,Central,Richest,Lao-Tai
005002,Urban,Central,Fourth,Mon-Khmer
005003,Urban,Central,Richest,Lao-Tai
005004,Urban,Central,Richest,Lao-Tai
005005,Urban,Central,0.0,
005006,Urban,Central,Richest,Lao-Tai
005007,Urban,Central,0.0,
005008,Urban,Central,Richest,Lao-Tai
005009,Urban,Central,Richest,Lao-Tai
005010,Urban,Central,Richest,Lao-Tai
005011,Urban,Central,Richest,Lao-Tai
005012,Urban,Central,Richest,Lao-Tai
005013,Urban,Central,Richest,Lao-Tai
005014,Urban,Central,Richest,Lao-Tai
005015,Urban,Central,Richest,Lao-Tai
005016,Urban,Central,Richest,Lao-Tai
005017,Urban,Central,Richest,Lao-Tai
005018,Urban,Central,Richest,Lao-Tai
005019,Urban,Central,Richest,Lao-Tai
005020,Urban,Central,Richest,Lao-Tai
006001,Urban,Central,Richest,Lao-Tai
006002,Urban,Central,Richest,"Other, DK, Missing"
006003,Urban,Central,Richest,Lao-Tai
006004,Urban,Central,Richest,Lao-Tai
006005,Urban,Central,Richest,Lao-Tai
006006,Urban,Central,Richest,Lao-Tai
006007,Urban,Central,Richest,Lao-Tai
006008,Urban,Central,Richest,Lao-Tai
006009,Urban,Central,Richest,Lao-Tai
006010,Urban,Central,Richest,Lao-Tai
006011,Urban,Central,Richest,Lao-Tai
006012,Urban,Central,Richest,Lao-Tai
006013,Urban,Central,Richest,Lao-Tai
006014,Urban,Central,Richest,Lao-Tai
006015,Urban,Central,Richest,Lao-Tai
006016,Urban,Central,Richest,Lao-Tai
006017,Urban,Central,Richest,Lao-Tai
006018,Urban,Central,Richest,Lao-Tai
006019,Urban,Central,Richest,Lao-Tai
006020,Urban,Central,Richest,Lao-Tai
007001,Urban,Central,Richest,Lao-Tai
007002,Urban,Central,Richest,Lao-Tai
007003,Urban,Central,Richest,Lao-Tai
007004,Urban,Central,Richest,Lao-Tai
007005,Urban,Central,Richest,Lao-Tai
007006,Urban,Central,Richest,"Other, DK, Missing"
007007,Urban,Central,Richest,Lao-Tai
007008,Urban,Central,Richest,Lao-Tai
007009,Urban,Central,0.0,
007010,Urban,Central,Fourth,Hmong-Mien
007011,Urban,Central,Richest,Lao-Tai
007012,Urban,Central,Richest,Lao-Tai
007013,Urban,Central,Richest,Lao-Tai
007014,Urban,Central,0.0,
007015,Urban,Central,Richest,Lao-Tai
007016,Urban,Central,Fourth,Lao-Tai
007017,Urban,Central,Fourth,Lao-Tai
007018,Urban,Central,Richest,Lao-Tai
007019,Urban,Central,Richest,Lao-Tai
007020,Urban,Central,Richest,Lao-Tai
008001,Urban,Central,Richest,Lao-Tai
008002,Urban,Central,0.0,
008003,Urban,Central,Fourth,Lao-Tai
008004,Urban,Central,Richest,Lao-Tai
008005,Urban,Central,Richest,Lao-Tai
008006,Urban,Central,0.0,
008007,Urban,Central,Richest,Lao-Tai
008008,Urban,Central,Richest,Lao-Tai
008009,Urban,Central,Richest,Lao-Tai
008010,Urban,Central,Fourth,Lao-Tai
008011,Urban,Central,Richest,Lao-Tai
008012,Urban,Central,Richest,Lao-Tai
008013,Urban,Central,Richest,Lao-Tai
008014,Urban,Central,0.0,
008015,Urban,Central,Fourth,Lao-Tai
008016,Urban,Central,Richest,Lao-Tai
008017,Urban,Central,Middle,Lao-Tai
008018,Urban,Central,Fourth,Lao-Tai
008019,Urban,Central,Fourth,Lao-Tai
008020,Urban,Central,0.0,
009001,Urban,Central,Richest,Lao-Tai
009002,Urban,Central,Richest,Lao-Tai
009003,Urban,Central,Richest,Lao-Tai
009004,Urban,Central,Richest,Lao-Tai
009005,Urban,Central,Richest,Lao-Tai
009006,Urban,Central,Richest,Lao-Tai
009007,Urban,Central,Richest,Lao-Tai
009008,Urban,Central,Richest,Lao-Tai
009009,Urban,Central,Richest,Lao-Tai
009010,Urban,Central,Richest,Lao-Tai
009011,Urban,Central,Richest,Lao-Tai
009012,Urban,Central,0.0,
009013,Urban,Central,Richest,Lao-Tai
009014,Urban,Central,Richest,Lao-Tai
009015,Urban,Central,Richest,Lao-Tai
009016,Urban,Central,Richest,Lao-Tai
009017,Urban,Central,Richest,Lao-Tai
009018,Urban,Central,Richest,Lao-Tai
009019,Urban,Central,Richest,Lao-Tai
009020,Urban,Central,Richest,Lao-Tai
010001,Urban,Central,Richest,Lao-Tai
010002,Urban,Central,Richest,Lao-Tai
010003,Urban,Central,0.0,
010004,Urban,Central,Richest,Lao-Tai
010005,Urban,Central,Richest,Lao-Tai
010006,Urban,Central,Richest,Lao-Tai
010007,Urban,Central,Richest,Lao-Tai
010008,Urban,Central,Richest,Lao-Tai
010009,Urban,Central,0.0,
010010,Urban,Central,Richest,Lao-Tai
010011,Urban,Central,Richest,Lao-Tai
010012,Urban,Central,Richest,Lao-Tai
010013,Urban,Central,Richest,Lao-Tai
010014,Urban,Central,Richest,Lao-Tai
010015,Urban,Central,Richest,Lao-Tai
010016,Urban,Central,Richest,Lao-Tai
010017,Urban,Central,Richest,Lao-Tai
010018,Urban,Central,Richest,Lao-Tai
010019,Urban,Central,Richest,Lao-Tai
010020,Urban,Central,Richest,Lao-Tai
011001,Urban,Central,Richest,Lao-Tai
011002,Urban,Central,Richest,Lao-Tai
011003,Urban,Central,Fourth,Lao-Tai
011004,Urban,Central,Richest,Lao-Tai
011005,Urban,Central,Richest,Lao-Tai
011006,Urban,Central,Richest,Lao-Tai
011007,Urban,Central,Fourth,Lao-Tai
011008,Urban,Central,Richest,Mon-Khmer
011009,Urban,Central,Middle,Lao-Tai
011010,Urban,Central,Richest,Lao-Tai
011011,Urban,Central,Fourth,Lao-Tai
011012,Urban,Central,Richest,Lao-Tai
011013,Urban,Central,Richest,Lao-Tai
011014,Urban,Central,Richest,Lao-Tai
