HHID,residence,region,wealth_q,eth_hoh
001001,Urban,Central,Richest,Lao-Tai
001002,Urban,Central,Richest,Lao-Tai
001003,Urban,Central,Richest,Lao-Tai
001004,Urban,Central,Richest,Lao-Tai
001005,Urban,Central,Rich,Lao-Tai
001006,Urban,Central,Richest,Lao-Tai
001007,Urban,Central,Richest,Lao-Tai
001008,Urban,Central,Richest,Lao-Tai
001009,Urban,Central,Richest,Lao-Tai
001010,Urban,Central,Richest,Lao-Tai
001011,Urban,Central,Richest,Lao-Tai
001012,Urban,Central,Richest,Lao-Tai
001013,Urban,Central,Richest,Lao-Tai
001014,Urban,Central,Richest,Lao-Tai
001015,Urban,Central,Rich,Lao-Tai
001016,Urban,Central,Richest,"Other, Missing, DK"
001017,Urban,Central,Rich,Lao-Tai
001018,Urban,Central,Richest,Lao-Tai
001019,Urban,Central,Richest,Lao-Tai
001020,Urban,Central,Richest,Lao-Tai
002001,Urban,Central,Richest,Lao-Tai
002002,Urban,Central,Richest,Lao-Tai
002003,Urban,Central,Richest,Lao-Tai
002004,Urban,Central,Richest,Lao-Tai
002005,Urban,Central,,"Other, Missing, DK"
002006,Urban,Central,Richest,Lao-Tai
002007,Urban,Central,Richest,Lao-Tai
002008,Urban,Central,Richest,Lao-Tai
002009,Urban,Central,Richest,Lao-Tai
002010,Urban,Central,Richest,Lao-Tai
002011,Urban,Central,Richest,Lao-Tai
002012,Urban,Central,Richest,Lao-Tai
002013,Urban,Central,Richest,Lao-Tai
002014,Urban,Central,Richest,Hmong-Mien
002015,Urban,Central,,"Other, Missing, DK"
002016,Urban,Central,,"Other, Missing, DK"
002017,Urban,Central,Richest,Lao-Tai
002018,Urban,Central,Richest,Lao-Tai
002019,Urban,Central,Richest,Lao-Tai
002020,Urban,Central,Richest,Lao-Tai
003001,Urban,Central,Richest,Lao-Tai
003002,Urban,Central,Richest,Lao-Tai
003003,Urban,Central,,"Other, Missing, DK"
003004,Urban,Central,Richest,Lao-Tai
003005,Urban,Central,,"Other, Missing, DK"
003006,Urban,Central,Richest,Lao-Tai
003007,Urban,Central,,"Other, Missing, DK"
003008,Urban,Central,Rich,Lao-Tai
003009,Urban,Central,Richest,Lao-Tai
003010,Urban,Central,Richest,Lao-Tai
003011,Urban,Central,Richest,Lao-Tai
003012,Urban,Central,,"Other, Missing, DK"
003013,Urban,Central,Richest,Lao-Tai
003014,Urban,Central,Richest,Lao-Tai
