MEMID,ED4A
001001001,Tertiary Education
001001002,Post secondary non tertiary
001001003,Upper Secondary
001001004,Upper Secondary
001001005,Upper Secondary
001001006,Preschool
001001007,Tertiary Education
001001008,Tertiary Education
001002001,Post secondary non tertiary
001003001,Upper Secondary
001003002,Upper Secondary
001003003,Upper Secondary
001004001,Lower Secondary
001004002,Lower Secondary
001004003,Upper Secondary
001004004,Upper Secondary
001004005,Upper Secondary
001004006,Tertiary Education
001005001,Post secondary non tertiary
001006001,Upper Secondary
001007001,Post secondary non tertiary
001007002,Primary
001007003,Primary
001008001,Tertiary Education
001008002,Tertiary Education
001009001,Upper Secondary
001009002,Upper Secondary
001009003,Lower Secondary
001009004,Primary
001010001,Primary
001010002,Primary
001010003,Primary
001010004,Tertiary Education
001010005,Tertiary Education
001010006,Tertiary Education
001010007,Upper Secondary
001011001,Lower Secondary
001011002,Primary
001011003,Primary
001011004,
001011005,
001012001,Upper Secondary
001012002,Primary
001013001,
001013002,
001013003,Upper Secondary
001013004,Primary
001014001,Post secondary non tertiary
001014002,Lower Secondary
001014003,Primary
001014004,Primary
001014005,Preschool
001015001,Upper Secondary
001015002,Lower Secondary
001015003,Upper Secondary
001016001,Primary
001017001,Upper Secondary
001017002,Primary
001017003,Primary
001017004,
001018001,Lower Secondary
001018002,Lower Secondary
001018003,Upper Secondary
001018004,Tertiary Education
001019001,Primary
001019002,Upper Secondary
001019003,Lower Secondary
001019004,Primary
001019005,
001020001,Tertiary Education
001020002,Upper Secondary
001020003,Upper Secondary
002001001,Upper Secondary
002001002,Upper Secondary
002001003,Tertiary Education
002001004,Tertiary Education
002001005,Tertiary Education
002002001,Tertiary Education
002002002,Tertiary Education
002002003,Primary
002002004,Primary
002002005,
002003001,Tertiary Education
002003002,Post secondary non tertiary
002003003,Upper Secondary
002003004,Lower Secondary
002003005,Lower Secondary
002004001,Tertiary Education
002004002,Lower Secondary
002004003,Post secondary non tertiary
002006001,Tertiary Education
002006002,Tertiary Education
002006003,Tertiary Education
002006004,Upper Secondary
002007001,Tertiary Education
002007002,Tertiary Education
002007003,Upper Secondary
002007004,Lower Secondary
002007005,Primary
002008001,Tertiary Education
002008002,Tertiary Education
002008003,Tertiary Education
002008004,Upper Secondary
002008005,Tertiary Education
002008006,Tertiary Education
002008007,Tertiary Education
002009001,Tertiary Education
002009002,Post secondary non tertiary
002009003,Upper Secondary
002009004,Tertiary Education
002009005,Tertiary Education
002010001,Tertiary Education
002010002,Tertiary Education
002010003,Upper Secondary
002010004,Upper Secondary
002010005,Lower Secondary
002011001,Post secondary non tertiary
002011002,Tertiary Education
002011003,Upper Secondary
002011004,Tertiary Education
002011005,Upper Secondary
002011006,Preschool
002011007,
002011008,
002012001,
002012002,
002012003,Primary
002012004,Primary
002012005,Upper Secondary
002012006,Lower Secondary
002012007,Post secondary non tertiary
002012008,
002012009,Upper Secondary
002013001,Tertiary Education
002013002,Upper Secondary
002013003,Tertiary Education
002013004,Tertiary Education
002013005,Tertiary Education
002014001,Lower Secondary
002017001,Post secondary non tertiary
002017002,Post secondary non tertiary
002017003,Post secondary non tertiary
002017004,Tertiary Education
002017005,Post secondary non tertiary
002017006,Lower Secondary
002017007,Preschool
002018001,Lower Secondary
002018002,Primary
002018003,Tertiary Education
002018004,Post secondary non tertiary
002018005,Tertiary Education
002018006,Tertiary Education
002018007,Primary
002018008,Lower Secondary
002018009,Lower Secondary
002019001,Lower Secondary
002019002,Upper Secondary
002019003,Preschool
002019004,
002019005,
002020001,Upper Secondary
002020002,Post secondary non tertiary
002020003,Tertiary Education
002020004,Tertiary Education
002020005,Post secondary non tertiary
003001001,Tertiary Education
003001002,Upper Secondary
003001003,Upper Secondary
003001004,Primary
003001005,Upper Secondary
003001006,Lower Secondary
003001007,Lower Secondary
003001008,Primary
003001009,Upper Secondary
003002001,Tertiary Education
003002002,Upper Secondary
003002003,Tertiary Education
003002004,Tertiary Education
003004001,Primary
003004002,Post secondary non tertiary
003004003,Lower Secondary
003004004,Tertiary Education
003004005,Tertiary Education
003004006,Tertiary Education
003006001,Post secondary non tertiary
003006002,Upper Secondary
003006003,Post secondary non tertiary
003006004,Post secondary non tertiary
003008001,
003008002,Primary
003008003,Tertiary Education
003008004,Upper Secondary
003008005,
003009001,Upper Secondary
003009002,Lower Secondary
003009003,Primary
003009004,Primary
003009005,Preschool
003010001,Primary
003010002,Primary
003010003,Primary
003010004,Tertiary Education
003010005,Post secondary non tertiary
003010006,Upper Secondary
003010007,Upper Secondary
003010008,Upper Secondary
003011001,Lower Secondary
003011002,Tertiary Education
003011003,Tertiary Education
003011004,Tertiary Education
003011005,
003011006,
003013001,Tertiary Education
003013002,Lower Secondary
003013003,Post secondary non tertiary
003013004,Lower Secondary
003013005,Upper Secondary
003013006,Lower Secondary
003014001,Tertiary Education
003014002,
003014003,Lower Secondary
003014004,Primary
003014005,Lower Secondary
003014006,Post secondary non tertiary
003014007,Lower Secondary
003014008,Primary
003015001,Lower Secondary
003015002,Primary
003017001,Post secondary non tertiary
003017002,Tertiary Education
003017003,Upper Secondary
003017004,Upper Secondary
003017005,Primary
003018001,Primary
003018002,Tertiary Education
004001001,Tertiary Education
004001002,Post secondary non tertiary
004001003,Lower Secondary
004001004,Post secondary non tertiary
004002001,Lower Secondary
004002002,
004002003,Lower Secondary
004002004,Lower Secondary
004003001,Lower Secondary
004003002,Lower Secondary
004003003,Tertiary Education
004003004,Tertiary Education
004003005,Tertiary Education
004004001,Primary
004005001,Upper Secondary
004005002,Upper Secondary
004005003,Upper Secondary
004005004,Lower Secondary
004006001,Post secondary non tertiary
004006002,Lower Secondary
004006003,Upper Secondary
004006004,Tertiary Education
004006005,Upper Secondary
004007001,Upper Secondary
004007002,Primary
004007003,Tertiary Education
004007004,Upper Secondary
004007005,Lower Secondary
004008001,Lower Secondary
004008002,Primary
004008003,Preschool
004008004,
004009001,Tertiary Education
004009002,Upper Secondary
004009003,Upper Secondary
004010001,Lower Secondary
004010002,Tertiary Education
004010003,Tertiary Education
004010004,Tertiary Education
004010005,Lower Secondary
004011001,Lower Secondary
004011002,Primary
004011003,
004012001,Primary
004012002,Tertiary Education
004013001,Tertiary Education
004013002,Post secondary non tertiary
004013003,
004014001,Tertiary Education
004014002,Tertiary Education
004014003,Lower Secondary
004014004,Primary
004015001,Lower Secondary
004016001,Upper Secondary
004016002,Lower Secondary
004016003,Primary
004016004,Primary
004016005,Upper Secondary
004016006,Tertiary Education
004016007,Upper Secondary
004016008,Primary
004016009,Primary
004016010,
004016011,Tertiary Education
004017001,Upper Secondary
004017002,Lower Secondary
004018001,Post secondary non tertiary
004018002,Lower Secondary
004018003,Primary
004018004,
004019001,Primary
004019002,Primary
004019003,Lower Secondary
004019004,Upper Secondary
004019005,Primary
004019006,Primary
004019007,Upper Secondary
004019008,Upper Secondary
004020001,Primary
004020002,Upper Secondary
004020003,Lower Secondary
005001001,Lower Secondary
005001002,Primary
005001003,Lower Secondary
005001004,Lower Secondary
005001005,
005002001,Lower Secondary
005002002,Primary
005002003,Lower Secondary
005002004,Lower Secondary
005002005,Primary
005002006,Primary
005003001,Upper Secondary
005003002,Tertiary Education
005003003,Lower Secondary
005003004,Primary
005003005,Preschool
005003006,
005003007,Upper Secondary
005003008,Lower Secondary
005004001,Tertiary Education
005004002,Tertiary Education
005004003,
005004004,Post secondary non tertiary
005004005,Tertiary Education
005004006,Post secondary non tertiary
005005001,Tertiary Education
005005002,Tertiary Education
005006001,Tertiary Education
005006002,Upper Secondary
005006003,Primary
005006004,Primary
005006005,
005007001,Post secondary non tertiary
005007002,Post secondary non tertiary
005007003,Upper Secondary
005008001,
005008002,Tertiary Education
005008003,Post secondary non tertiary
005008004,Upper Secondary
005008005,Preschool
005008006,
005009001,Tertiary Education
005009002,Primary
005009003,Tertiary Education
005009004,Tertiary Education
005009005,Tertiary Education
005009006,Tertiary Education
005009007,Tertiary Education
005009008,Primary
005009009,Tertiary Education
005009010,
005010001,Lower Secondary
005010002,Primary
005010003,Post secondary non tertiary
005010004,Upper Secondary
005010005,Lower Secondary
005011001,Lower Secondary
005011002,Lower Secondary
005011003,Tertiary Education
005012001,
005012002,Primary
005012003,Lower Secondary
005015001,Tertiary Education
005015002,Tertiary Education
005015003,Tertiary Education
005015004,Tertiary Education
005015005,Tertiary Education
005016001,Tertiary Education
005016002,Lower Secondary
005016003,Upper Secondary
005016004,Upper Secondary
005016005,Lower Secondary
005016006,Upper Secondary
005016007,
005017001,Tertiary Education
005017002,Tertiary Education
005017003,Tertiary Education
005017004,Post secondary non tertiary
005018001,Lower Secondary
005018002,Primary
005018003,Tertiary Education
005018004,Tertiary Education
005019001,Lower Secondary
005019002,Upper Secondary
005019003,Primary
005019004,Tertiary Education
005019005,Tertiary Education
005020001,Lower Secondary
005020002,Tertiary Education
005020003,Primary
005020004,Lower Secondary
005020005,Lower Secondary
005020006,Upper Secondary
006001001,Upper Secondary
006001002,Upper Secondary
006001003,Upper Secondary
006001004,Lower Secondary
006001005,Primary
006004001,Upper Secondary
006004002,Upper Secondary
006004003,Tertiary Education
006004004,Upper Secondary
006004005,Lower Secondary
006004006,
006005001,Primary
006005002,Lower Secondary
006005003,
006006001,Tertiary Education
006006002,Tertiary Education
006006003,Tertiary Education
006006004,Tertiary Education
006006005,Primary
006007001,Post secondary non tertiary
006007002,Tertiary Education
006007003,Tertiary Education
006007004,Tertiary Education
006007005,Tertiary Education
006007006,Tertiary Education
006009001,
006009002,Primary
006010001,Upper Secondary
006010002,
006010003,Upper Secondary
006010004,Upper Secondary
006010005,Upper Secondary
006010006,Lower Secondary
006011001,Primary
006011002,Lower Secondary
006011003,Tertiary Education
006011004,Tertiary Education
006011005,Lower Secondary
006011006,Primary
006012001,Primary
006012002,Lower Secondary
006012003,Upper Secondary
006012004,Lower Secondary
006012005,Upper Secondary
006012006,Primary
006012007,
006013001,Tertiary Education
006013002,Upper Secondary
006014001,Tertiary Education
006014002,Upper Secondary
006014003,Primary
006014004,Primary
006014005,Post secondary non tertiary
006014006,
006015001,Primary
006015002,Primary
006015003,Lower Secondary
006015004,Lower Secondary
006015005,Preschool
006015006,Lower Secondary
006015007,
006016001,Post secondary non tertiary
006016002,Post secondary non tertiary
006016003,Upper Secondary
006016004,Upper Secondary
006016005,Lower Secondary
006016006,Primary
006016007,
006017001,Tertiary Education
006017002,Post secondary non tertiary
006017003,Upper Secondary
006019001,Tertiary Education
006019002,Primary
006019003,Tertiary Education
006019004,Lower Secondary
006019005,Primary
006019006,Tertiary Education
006019007,Tertiary Education
006020001,Upper Secondary
006020002,Lower Secondary
006020003,Tertiary Education
006020004,Lower Secondary
006020005,Preschool
007002001,Upper Secondary
007002002,Lower Secondary
007002003,Tertiary Education
007002004,Tertiary Education
007002005,Tertiary Education
007002006,Tertiary Education
007002007,Tertiary Education
007002008,Upper Secondary
007002009,Tertiary Education
007002010,Tertiary Education
007002011,Primary
007002012,Primary
007002013,
007003001,Tertiary Education
007003002,Post secondary non tertiary
007003003,Tertiary Education
007004001,Tertiary Education
007004002,Upper Secondary
007004003,Tertiary Education
007004004,Tertiary Education
007004005,Preschool
007004006,Primary
007004007,
007005001,Upper Secondary
007005002,Tertiary Education
007005003,
007006001,Primary
007006002,Tertiary Education
007008001,Primary
007010001,Primary
007010002,Upper Secondary
007010003,Primary
007010004,Tertiary Education
007010005,Upper Secondary
007010006,Upper Secondary
007010007,Lower Secondary
007011001,Upper Secondary
007011002,Lower Secondary
007011003,Primary
007011004,Preschool
007011005,Upper Secondary
007011006,Primary
007012001,DK
007012002,Tertiary Education
007012003,Upper Secondary
007012004,Tertiary Education
007012005,Lower Secondary
007012006,Primary
007013001,DK
007013002,Tertiary Education
007013003,Tertiary Education
007015001,Primary
007015002,Primary
007015003,Tertiary Education
007015004,Tertiary Education
007016001,Tertiary Education
007016002,Post secondary non tertiary
007016003,Tertiary Education
007016004,Tertiary Education
007017001,Lower Secondary
007017002,Primary
007017003,Post secondary non tertiary
007017004,Tertiary Education
007017005,Lower Secondary
007019001,Primary
007019002,Primary
007019003,Primary
