,int_2017_Urban,int_2017_Central,int_2017_Secondary_Higher,int_2017_Richest,int_2017_Non-Lao_Tai,int_2017_Elderly HoH: NO,int_2017_Male
residence,"[c0   -0.341038
Name: coef, dtype: float64, c0   -0.115252
Name: t, dtype: float64, c0    0.908249
Name: P>|t|, dtype: float64]",,,,,,
region,,"[c0   -1.6254
Name: coef, dtype: float64, c0   -0.564695
Name: t, dtype: float64, c0    0.57231
Name: P>|t|, dtype: float64]",,,,,
mother_edu_biv,,,"[c0    2.739415
Name: coef, dtype: float64, c0    0.978649
Name: t, dtype: float64, c0    0.327792
Name: P>|t|, dtype: float64]",,,,
wealth_q,,,,"[c0    16.998635
Name: coef, dtype: float64, c0    5.039647
Name: t, dtype: float64, c0    4.989046e-07
Name: P>|t|, dtype: float64]",,,
eth_hoh_biv,,,,,"[c0   -13.565129
Name: coef, dtype: float64, c0   -14.87415
Name: t, dtype: float64, c0    3.524978e-49
Name: P>|t|, dtype: float64]",,
elderly_hoh,,,,,,"[c0   -5.82159
Name: coef, dtype: float64, c0   -1.65423
Name: t, dtype: float64, c0    0.098132
Name: P>|t|, dtype: float64]",
sex_hoh,,,,,,,"[c0   -1.392775
Name: coef, dtype: float64, c0   -0.301807
Name: t, dtype: float64, c0    0.76281
Name: P>|t|, dtype: float64]"
