MEMID,ED3A
001001001,Primary
001001002,
001001003,Secondary
001001004,Secondary
001001005,Secondary
001001006,Secondary
001001007,
001002001,Secondary
001002002,Secondary
001002003,Primary
001002004,
001003001,Secondary
001003002,Secondary
001003003,Secondary
001003004,Secondary
001004001,Secondary
001004002,Primary
001004003,Secondary
001004004,Secondary
001004005,Secondary
001004006,
001005001,Secondary
001005002,Secondary
001005003,Secondary
001005004,Primary
001005005,
001006001,Secondary
001006002,Primary
001006003,Primary
001006004,Secondary
001006005,Preschool/kindergarten
001007001,Secondary
001007002,Secondary
001007003,
001007004,
001008001,Primary
001008002,Secondary
001008003,Secondary
001008004,Secondary
001008005,Secondary
001008006,Secondary
001008007,Primary
001009001,Secondary
001009002,Secondary
001009003,
001009004,
001009005,Secondary
001009006,Primary
001009007,
001010001,Secondary
001010002,Secondary
001010003,Secondary
001010004,Secondary
001010005,Primary
001010006,Primary
001011001,Secondary
001011002,Primary
001011003,Secondary
001011004,Secondary
001011005,Secondary
001011006,Secondary
001011007,
001011008,Primary
001011009,Primary
001011010,
001012001,Primary
001012002,Primary
001012003,Secondary
001012004,Secondary
001013001,Secondary
001013002,Primary
001013003,Secondary
001013004,Secondary
001013005,Primary
001013006,
001014001,Primary
001014002,Secondary
001014003,Secondary
001014004,Secondary
001015001,Secondary
001015002,Secondary
001015003,Secondary
001016001,Secondary
001016002,Secondary
001016003,Secondary
001016004,Secondary
001016005,Secondary
001017001,Secondary
001017002,Secondary
001017003,Secondary
001017004,Secondary
001018001,Primary
001018002,Primary
001018003,Secondary
001018004,Secondary
001018005,Primary
001018006,Primary
001018007,
001019001,Secondary
001019002,Secondary
001019003,Secondary
001019004,Primary
001020001,Secondary
001020002,Secondary
001020003,Secondary
001020004,Primary
002001001,Secondary
002001002,Secondary
002001003,
002002001,Secondary
002002002,Secondary
002002003,Secondary
002002004,Primary
002003001,Secondary
002003002,Primary
002003003,Secondary
002003004,Secondary
002003005,Secondary
002003006,Secondary
002003007,Secondary
002004001,Secondary
002004002,Secondary
002004003,Primary
002004004,Secondary
002004005,Primary
002004006,Primary
002005001,Secondary
002005002,Primary
002005003,Secondary
002005004,Secondary
002005005,Secondary
002005006,Preschool/kindergarten
002006001,Secondary
002006002,Secondary
002006003,Primary
002006004,Preschool/kindergarten
002006005,Primary
002006006,
002007001,Secondary
002007002,Secondary
002007003,Secondary
002007004,Primary
002008001,Secondary
002008002,Secondary
002008003,Preschool/kindergarten
002009001,Primary
002009002,Secondary
002009003,Secondary
002009004,Secondary
002009005,Secondary
002009006,
002010001,Primary
002010002,Secondary
002010003,Secondary
002010004,Primary
002010005,Primary
002010006,Primary
002011001,Primary
002011002,Primary
002011003,Secondary
002011004,Secondary
002011005,Secondary
002011006,Secondary
002011007,Secondary
002011008,Primary
