,int_2017_CH Sex: Male,int_2017_Urban,int_2017_North,int_2017_None_Primary,int_2017_Richest,int_2017_Lao_Tai,int_2017_Elderly HoH: NO,int_2017_Male
sex_ch,"[c0    2.008185
Name: coef, dtype: float64, c0    0.862538
Name: t, dtype: float64, c0    0.388422
Name: P>|t|, dtype: float64]",,,,,,,
residence,,"[c0    5.530986
Name: coef, dtype: float64, c0    2.089967
Name: t, dtype: float64, c0    0.036658
Name: P>|t|, dtype: float64]",,,,,,
region,,,"[c0    14.67191
Name: coef, dtype: float64, c0    4.852713
Name: t, dtype: float64, c0    0.000001
Name: P>|t|, dtype: float64]",,,,,
mother_edu_biv,,,,"[c0   -1.304589
Name: coef, dtype: float64, c0   -0.534157
Name: t, dtype: float64, c0    0.593251
Name: P>|t|, dtype: float64]",,,,
wealth_q,,,,,"[c0    4.291102
Name: coef, dtype: float64, c0    1.217757
Name: t, dtype: float64, c0    0.223418
Name: P>|t|, dtype: float64]",,,
eth_hoh_biv,,,,,,"[c0    0.327329
Name: coef, dtype: float64, c0    0.14077
Name: t, dtype: float64, c0    0.888056
Name: P>|t|, dtype: float64]",,
elderly_hoh,,,,,,,"[c0    0.031798
Name: coef, dtype: float64, c0    0.010022
Name: t, dtype: float64, c0    0.992004
Name: P>|t|, dtype: float64]",
sex_hoh,,,,,,,,"[c0   -4.632429
Name: coef, dtype: float64, c0   -1.164781
Name: t, dtype: float64, c0    0.244149
Name: P>|t|, dtype: float64]"
