HHID,residence,region,wealth_q,eth_hoh
000101002004,Urban,Central,Richest,Lao-Tai
000101002010,Urban,Central,Poor,Lao-Tai
000101002016,Urban,Central,Middle,Lao-Tai
000101002022,Urban,Central,Poor,Lao-Tai
000101002028,Urban,Central,Poor,Lao-Tai
000101002034,Urban,Central,Middle,Lao-Tai
000101002040,Urban,Central,Middle,Lao-Tai
000101002046,Urban,Central,Rich,Lao-Tai
000101002052,Urban,Central,Poor,Lao-Tai
000101002058,Urban,Central,Poor,Lao-Tai
000101002064,Urban,Central,Poorest,Lao-Tai
000101002070,Urban,Central,Middle,Lao-Tai
000101002076,Urban,Central,Richest,Lao-Tai
000101002082,Urban,Central,Poor,Lao-Tai
000101002088,Urban,Central,Poor,Lao-Tai
000101002094,Urban,Central,Poor,Lao-Tai
000101002106,Urban,Central,Middle,Lao-Tai
000101002112,Urban,Central,Poor,Lao-Tai
000101002118,Urban,Central,Poor,Lao-Tai
000101002124,Urban,Central,Middle,Lao-Tai
000101002130,Urban,Central,Poor,Lao-Tai
000101002136,Urban,Central,Poor,Lao-Tai
000101002148,Urban,Central,Rich,Lao-Tai
000101014012,Urban,Central,Poor,Lao-Tai
000101014026,Urban,Central,Rich,Lao-Tai
000101014040,Urban,Central,Poor,Lao-Tai
000101014054,Urban,Central,Middle,Lao-Tai
000101014068,Urban,Central,Rich,Lao-Tai
000101014082,Urban,Central,Rich,Lao-Tai
000101014096,Urban,Central,Rich,Lao-Tai
000101014116,Urban,Central,Rich,Lao-Tai
000101014124,Urban,Central,Rich,Lao-Tai
000101014138,Urban,Central,Poor,Mon-Khmer
000101014152,Urban,Central,Middle,Lao-Tai
000101014166,Urban,Central,Middle,Lao-Tai
000101014180,Urban,Central,Middle,Lao-Tai
000101014194,Urban,Central,Poor,Lao-Tai
000101014208,Urban,Central,Poor,Lao-Tai
000101014222,Urban,Central,Rich,Lao-Tai
000101014236,Urban,Central,Middle,Lao-Tai
000101014253,Urban,Central,Middle,Lao-Tai
000101014264,Urban,Central,Poor,Lao-Tai
000101014278,Urban,Central,Middle,Lao-Tai
000101014292,Urban,Central,Middle,Lao-Tai
000101014306,Urban,Central,Poor,Lao-Tai
000101014320,Urban,Central,Poor,Lao-Tai
000101014348,Urban,Central,Middle,Lao-Tai
000101029005,Urban,Central,Middle,Lao-Tai
000101029014,Urban,Central,Poor,Lao-Tai
000101029023,Urban,Central,Poor,Lao-Tai
000101029032,Urban,Central,Poor,Chinese-Tibetan
000101029041,Urban,Central,Poor,Lao-Tai
000101029050,Urban,Central,Poor,Lao-Tai
000101029059,Urban,Central,Middle,Lao-Tai
000101029068,Urban,Central,Poor,Lao-Tai
000101029077,Urban,Central,Poor,Lao-Tai
000101029086,Urban,Central,Poor,Lao-Tai
000101029095,Urban,Central,Poor,Lao-Tai
000101029104,Urban,Central,Poor,Lao-Tai
000101029113,Urban,Central,Poor,Lao-Tai
000101029122,Urban,Central,Middle,Lao-Tai
000101029131,Urban,Central,Middle,Lao-Tai
